handle,official_full,quartile,party_code,pct_small_donors,tweet_count,avg_sentiment,sentiment_std,pct_negative,pct_positive,pct_extreme,avg_anger,avg_fear,avg_joy,avg_disgust,avg_sadness
RepPressley,Ayanna Pressley,Q4 (highest),D,27.96,1439,0.1716702460538521,0.7151324606454196,0.2925642807505212,0.4739402362751911,0.5010423905489924,0.19077663285743676,0.3318310948145597,0.2620975132872638,0.027272810568677665,0.06849343647820032
RepAnnWagner,Ann Wagner,Q4 (highest),R,18.29,873,0.17570092690359687,0.6703313539921503,0.24742268041237114,0.4215349369988545,0.43871706758304696,0.10390452177699581,0.17443310102113954,0.2668901602111856,0.06218490412799884,0.07087311726326186
RepRyanZinke,Ryan K. Zinke,Q4 (highest),R,37.36,657,0.17734745630209123,0.6903602025078095,0.2694063926940639,0.4337899543378995,0.4657534246575342,0.08905314294393829,0.10764579000639869,0.26920327739079536,0.05464771072368457,0.060486174636673495
RepGolden,Jared F. Golden,Q4 (highest),D,14.57,320,0.17832721583545208,0.6557033881234193,0.253125,0.425,0.409375,0.09988008798372898,0.12877607779382738,0.2627050081018751,0.04401420094850432,0.07211716039091694
RepSpartz,Victoria Spartz,Q4 (highest),R,50.38,620,0.1792588982370592,0.6083393090224747,0.19516129032258064,0.36451612903225805,0.3725806451612903,0.11318507405531197,0.27067587578438235,0.2790247711409803,0.020286248856615563,0.07965865230296673
RepMcGovern,James P. McGovern,Q4 (highest),D,15.57,1955,0.1814254412413253,0.7595342821325481,0.3278772378516624,0.4966751918158568,0.5877237851662405,0.15482210182442502,0.17026074815795622,0.2916525265336652,0.06640292001075179,0.0636736422160859
RepBowman,Jamaal Bowman,Q4 (highest),D,29.02,1608,0.19584659640839444,0.7316110410205164,0.2947761194029851,0.4931592039800995,0.5416666666666666,0.13646552704460133,0.1497165201319999,0.25172757588976913,0.060811068039773916,0.0691561059250475
GerryConnolly,Gerald E. Connolly,Q4 (highest),D,14.14,1055,0.19989772809060263,0.7657596382861749,0.32606635071090045,0.5042654028436019,0.5895734597156398,0.09879406517822847,0.1392714103054855,0.3315404522620302,0.07073443261218215,0.0747910913369084
Ilhan,Ilhan Omar,Q4 (highest),D,47.67,927,0.2001198375559419,0.7185999779999506,0.2750809061488673,0.47249190938511326,0.5490830636461704,0.12967682381031453,0.16914006532606277,0.26552542569908183,0.06979310094551121,0.06819517939634558
RepRonnyJackson,Ronny Jackson,Q4 (highest),R,49.22,653,0.20679119735910553,0.7647851747434771,0.3001531393568147,0.5206738131699847,0.6217457886676876,0.1789184137068155,0.17319403806014305,0.2779804866022543,0.05103632588949261,0.05546137291683482
