"Name","Total Raised","Total from Small Donors","Percent from Small Donors*","total money raised"
"HimesJim Himes (D)","$2121424","$64258","3.03%","Raised over $100k"
"PerdueDavid Perdue (R)","$14642696","$443269","3.03%","Raised over $100k"
"HartzlerVicky Hartzler (R)","$928063","$27954","3.01%","Raised over $100k"
"NugentRichard Nugent (R)","$48430","$1455","3.00%","Raised less than $100k"
"RooneyTom Rooney (R)","$626812","$18777","3.00%","Raised over $100k"
"CorkerBob Corker (R)","$11380786","$337341","2.96%","Raised over $100k"
"SchweikertDavid Schweikert (R)","$587747","$17282","2.94%","Raised over $100k"
"SanfordMark Sanford (R)","$741639","$21794","2.94%","Raised over $100k"
"ShimkusJohn Shimkus (R)","$3199189","$93523","2.92%","Raised over $100k"
"BluntRoy Blunt (R)","$15893492","$458993","2.89%","Raised over $100k"
"IsraelSteve Israel (D)","$1085533","$31235","2.88%","Raised over $100k"
"MoranJerry Moran (R)","$6617848","$189718","2.87%","Raised over $100k"
"CappsLois Capps (D)","$24700","$703","2.85%","Raised less than $100k"
"RuppersbergerDutch Ruppersberger (D)","$1135835","$32087","2.82%","Raised over $100k"
"HultgrenRandy Hultgren (R)","$1179173","$33084","2.81%","Raised over $100k"
"TurnerMichael R Turner (R)","$1050524","$29313","2.79%","Raised over $100k"
"MoolenaarJohn Moolenaar (R)","$1050896","$28755","2.74%","Raised over $100k"
"CrapoMike Crapo (R)","$5875081","$159452","2.71%","Raised over $100k"
"NealRichard E Neal (D)","$1791836","$48075","2.68%","Raised over $100k"
"WaltersMimi Walters (R)","$1950502","$52052","2.67%","Raised over $100k"
"MesserLuke Messer (R)","$1939107","$51702","2.67%","Raised over $100k"
"CoatsDan Coats (R)","$1123660","$29676","2.64%","Raised over $100k"
"JohnsonSam Johnson (R)","$1098196","$28728","2.62%","Raised over $100k"
"ValadaoDavid Valadao (R)","$2768474","$71995","2.60%","Raised over $100k"
"DoldBob Dold (R)","$5410425","$138950","2.57%","Raised over $100k"
"DesjarlaisScott Desjarlais (R)","$607523","$15535","2.56%","Raised over $100k"
"HunterDuncan D Hunter (R)","$1194881","$30501","2.55%","Raised over $100k"
"VelazquezNydia Velazquez (D)","$771209","$19414","2.52%","Raised over $100k"
"SmithAdam Smith (D)","$921267","$23027","2.50%","Raised over $100k"
"TitusDina Titus (D)","$945856","$23625","2.50%","Raised over $100k"
"AbrahamRalph Abraham (R)","$577493","$14375","2.49%","Raised over $100k"
"SmithAdrian Smith (R)","$1156745","$28494","2.46%","Raised over $100k"
"SmithLamar Smith (R)","$1536636","$37795","2.46%","Raised over $100k"
"FattahChaka Fattah (D)","$220214","$5404","2.45%","Raised over $100k"
"FarentholdBlake Farenthold (R)","$1099143","$26880","2.45%","Raised over $100k"
"RussellSteven Russell (R)","$865262","$21117","2.44%","Raised over $100k"
"UptonFred Upton (R)","$2935518","$71414","2.43%","Raised over $100k"
"GoodlatteBob Goodlatte (R)","$1777615","$42694","2.40%","Raised over $100k"
